customer_id,purchase_amount
43,100
96,100
194,100
205,100
244,100
249,100
456,100
519,100
582,100
616,100
770,100
862,100
1209,100
1301,100
1406,100
1413,100
1422,100
1457,100
1480,100
1592,100
92,99
293,99
414,99
458,99
500,99
564,99
571,99
757,99
766,99
886,99
905,99
909,99
957,99
960,99
993,99
1206,99
1235,99
1248,99
1286,99
1567,99
1588,99
101,98
155,98
301,98
332,98
544,98
663,98
901,98
981,98
1099,98
1133,98
1271,98
1279,98
1470,98
1497,98
1604,98
9,97
210,97
455,97
573,97
728,97
939,97
945,97
992,97
1015,97
1084,97
1110,97
1190,97
1226,97
1278,97
1329,97
1375,97
1429,97
1438,97
1579,97
80,96
82,96
106,96
151,96
183,96
362,96
457,96
809,96
987,96
1055,96
1067,96
1074,96
1107,96
1117,96
1165,96
1182,96
1385,96
86,95
115,95
140,95
146,95
279,95
302,95
323,95
680,95
693,95
751,95
769,95
1021,95
1027,95
1196,95
1348,95
1436,95
1449,95
1462,95
1541,95
1585,95
1594,95
29,94
55,94
67,94
116,94
135,94
188,94
195,94
223,94
283,94
430,94
553,94
585,94
619,94
631,94
780,94
825,94
826,94
827,94
930,94
1006,94
1069,94
1170,94
1205,94
1212,94
1284,94
1560,94
214,93
386,93
388,93
405,93
462,93
567,93
645,93
650,93
1261,93
1285,93
1289,93
1319,93
1411,93
1454,93
1516,93
1566,93
1610,93
1654,93
98,92
212,92
434,92
605,92
746,92
1073,92
1163,92
1198,92
1238,92
1265,92
1443,92
1465,92
1573,92
1584,92
1605,92
35,91
79,91
208,91
402,91
420,91
428,91
459,91
690,91
711,91
762,91
819,91
885,91
898,91
943,91
997,91
1138,91
1169,91
1227,91
1332,91
1347,91
1356,91
1512,91
4,90
20,90
149,90
228,90
238,90
352,90
477,90
557,90
579,90
607,90
630,90
702,90
706,90
714,90
718,90
837,90
949,90
975,90
977,90
994,90
999,90
1028,90
1126,90
1136,90
1208,90
1364,90
1416,90
1428,90
1463,90
1515,90
1645,90
1676,90
104,89
124,89
128,89
236,89
313,89
441,89
621,89
670,89
808,89
835,89
879,89
940,89
1031,89
1036,89
1146,89
1159,89
1188,89
1200,89
1353,89
1538,89
1544,89
24,88
197,88
220,88
231,88
242,88
364,88
365,88
366,88
397,88
415,88
466,88
481,88
482,88
523,88
529,88
569,88
641,88
842,88
926,88
1197,88
1269,88
1432,88
1524,88
1572,88
1630,88
93,87
350,87
426,87
511,87
625,87
704,87
843,87
861,87
1259,87
1312,87
117,86
125,86
137,86
176,86
247,86
333,86
392,86
433,86
576,86
588,86
676,86
852,86
1152,86
1252,86
1338,86
1382,86
1508,86
1662,86
7,85
74,85
76,85
102,85
110,85
153,85
243,85
276,85
290,85
311,85
336,85
373,85
490,85
615,85
629,85
669,85
753,85
788,85
1009,85
1083,85
1086,85
1298,85
1337,85
1388,85
1461,85
1500,85
1599,85
121,84
213,84
305,84
480,84
521,84
530,84
537,84
744,84
774,84
790,84
816,84
863,84
890,84
934,84
937,84
989,84
1026,84
1121,84
1322,84
1509,84
1561,84
65,83
90,83
225,83
234,83
